Date,삼성전자,삼성전자우,괴리율
2016-07-04,22902.861328125,18282.337890625,20.174437470072526
2016-07-05,22949.73828125,18297.236328125,20.272570850736486
2016-07-06,22199.845703125,17582.037109375,20.801084185463353
2016-07-07,22652.908203125,17865.130859375,21.13537608866273
2016-07-08,22809.12890625,17850.240234375,21.74080690348591
2016-07-11,23262.19140625,18118.4375,22.11207799136239
2016-07-12,22871.625,17731.037109375,22.475831475135678
2016-07-13,23137.203125,17820.43359375,22.979309567046037
2016-07-14,23434.0390625,18073.73828125,22.873994393172058
2016-07-15,23715.248046875,18282.337890625,22.90893245354819
2016-07-18,23949.5859375,18371.734375,23.289970762151093
2016-07-19,23949.5859375,18267.43359375,23.725472158802326
2016-07-20,24058.9453125,18505.83984375,23.081250639298986
2016-07-21,24105.8125,18476.037109375,23.35443117972066
2016-07-22,23684.00390625,18252.541015625,22.93304338288715
2016-07-25,23465.28515625,18043.935546875,23.103702227675758
2016-07-26,23902.720703125,18356.8359375,23.201897535036423
2016-07-27,23855.8515625,18192.939453125,23.738042192871312
2016-07-28,23543.400390625,18356.8359375,22.02980184285654
2016-07-29,24043.32421875,18848.541015625,21.60592751593762
2016-08-01,24496.3828125,19146.54296875,21.839305356626312
2016-08-02,24183.92578125,18878.33984375,21.93848089632108
2016-08-03,23699.626953125,18654.841796875,21.286348372605087
2016-08-04,23699.626953125,18967.740234375,19.966081019372588
2016-08-05,24387.01953125,19325.3359375,20.755646614642107
2016-08-08,24512.001953125,19250.83984375,21.463616555824654
2016-08-09,24480.759765625,19176.337890625,21.667717529127824
2016-08-10,24074.568359375,18997.533203125,21.088789964838252
2016-08-11,24355.77734375,19086.947265625,21.632773217468458
2016-08-12,24137.060546875,19250.83984375,20.24364438924032
2016-08-16,24496.3828125,19504.14453125,20.379491614992904
2016-08-17,24465.134765625,19429.642578125,20.582319434328937
2016-08-18,25621.21875,20174.640625,21.25807588680769
2016-08-19,26168.015625,20636.54296875,21.138296214426845
2016-08-22,26011.783203125,20785.54296875,20.091818363867997
2016-08-23,26355.48046875,20860.044921875,20.851206083649288
2016-08-24,25824.306640625,20338.544921875,21.24262926045101
2016-08-25,25605.59765625,20010.74609375,21.85011120462704
2016-08-26,25183.779296875,19727.64453125,21.665273910266677
2016-08-29,25621.21875,19951.1328125,22.130430222020568
2016-08-30,25699.330078125,20204.443359375,21.38143952408779
2016-08-31,25308.76171875,19727.64453125,22.052114795348636
2016-09-01,24793.2109375,19265.744140625,22.294275682197526
2016-09-02,24949.447265625,19504.14453125,21.82534417055989
2016-09-05,25090.044921875,19474.34375,22.382188590578792
2016-09-06,25668.08203125,20070.34765625,21.80815211742331
2016-09-07,25324.3828125,19682.947265625,22.276695107019204
2016-09-08,25605.59765625,19906.443359375,22.257454691685
2016-09-09,24605.7421875,18952.8359375,22.97393107236465
2016-09-12,22887.2421875,17552.234375,23.309963554340964
2016-09-13,23855.8515625,18729.337890625,21.489543806239887
2016-09-19,24340.15234375,19191.236328125,21.154000775788592
2016-09-20,24761.96875,19697.841796875,20.451229077352746
2016-09-21,24871.328125,19712.7421875,20.74109557629424
2016-09-22,25277.513671875,20189.54296875,20.128446053561532
2016-09-23,24543.248046875,19101.8359375,22.17070902344498
2016-09-26,24496.3828125,18878.33984375,22.9341736359673
2016-09-27,24512.001953125,18863.4453125,23.044044511039512
2016-09-28,24480.759765625,18699.533203125,23.61538864744627
2016-09-29,24996.3125,19250.83984375,22.985280953940705
2016-09-30,24965.060546875,19221.037109375,23.00824957630238
2016-10-04,25215.029296875,19548.833984375,22.471500016072692
2016-10-05,25293.1328125,19772.34375,21.827225213365413
2016-10-06,26417.96875,20547.14453125,22.22284489132042
2016-10-07,26652.314453125,20383.240234375,23.521687881087367
2016-10-10,26246.12109375,19936.236328125,24.04120876790276
2016-10-11,24137.060546875,18639.935546875,22.774624894047868
2016-10-12,23980.833984375,18788.935546875,21.65019965895616
2016-10-13,24324.53125,18803.84375,22.695966648894828
2016-10-14,24636.982421875,18818.73828125,23.61589597701309
2016-10-17,24840.08203125,18967.740234375,23.64058938890506
2016-10-18,24824.458984375,19086.947265625,23.11233337395712
2016-10-19,25386.873046875,19429.642578125,23.465790598749244
2016-10-20,25308.76171875,19533.9375,22.81749017563242
2016-10-21,24824.458984375,19399.83984375,21.851912841441422
2016-10-24,25121.291015625,19668.04296875,21.707674352735996
2016-10-25,24949.447265625,19548.833984375,21.646224157802845
2016-10-26,24480.759765625,19310.443359375,21.119918073416873
2016-10-27,24574.49609375,19295.537109375,21.481453634842143
2016-10-28,25215.029296875,19489.2421875,22.707834450482355
2016-10-31,25605.59765625,19623.341796875,23.363078416233755
2016-11-01,25808.6875,19772.34375,23.388805610513902
2016-11-02,25668.08203125,19533.9375,23.897946577316887
2016-11-03,25246.267578125,19146.54296875,24.160896617685363
2016-11-04,25418.119140625,19235.94140625,24.321932319902515
2016-11-07,25621.21875,19295.537109375,24.689230057118184
2016-11-08,25683.70703125,19280.642578125,24.93045277823109
2016-11-09,24933.822265625,18774.041015625,24.704520568000436
2016-11-10,25761.818359375,19280.642578125,25.158068001405
2016-11-11,24965.060546875,18639.935546875,25.335908912072508
2016-11-14,24262.0390625,18118.4375,25.321868234874373
2016-11-15,24043.32421875,18014.140625,25.076331121668225
2016-11-16,24340.15234375,18267.43359375,24.949386775548827
2016-11-17,24496.3828125,18416.435546875,24.819775687545707
2016-11-18,24777.587890625,18580.337890625,25.011514548374702
2016-11-21,24886.9453125,18520.740234375,25.5805001304336
2016-11-22,25621.21875,19042.2421875,25.67784392575002
2016-11-23,25761.818359375,19384.943359375,24.753202243114906
2016-11-24,25777.44140625,19459.44140625,24.509802584472705
2016-11-25,25777.44140625,19221.037109375,25.434658907944733
2016-11-28,26199.25,19489.2421875,25.61144999379753
2016-11-29,26199.25,19250.83984375,26.521408651965228
2016-11-30,27277.21875,20204.443359375,25.9292395439876
2016-12-01,27324.08984375,20278.94140625,25.783652732028617
2016-12-02,26980.392578125,20278.94140625,24.838227066081917
2016-12-05,26839.78515625,20591.84765625,23.278641999655072
2016-12-06,27308.466796875,21068.64453125,22.84940532193863
2016-12-07,27683.41015625,21143.138671875,23.625237813768486
2016-12-08,27964.615234375,20830.236328125,25.512165450716424
2016-12-09,27808.392578125,20874.943359375,24.932937778662115
2016-12-12,27370.953125,20189.54296875,26.237340451585023
2016-12-13,27589.666015625,20278.94140625,26.498054036734906
2016-12-14,27761.5234375,20517.34375,26.09431612717129
2016-12-15,27480.3125,20442.841796875,25.60913637035605
